iso_code,year,date,total_cases,total_deaths,vaccinated_rate,fully_vaccinated_rate,booster_rate,population,country,cases_per_million,deaths_per_million
DOM,2022,2022-12-31,658587.0,4384.0,65.01,54.07,22.39,11230734.0,Dominican Republic,58641.49217673573,390.35738892934336
ECU,2020,2020-12-31,209274.0,13990.0,,,,17546065.0,Ecuador,11927.118701543623,797.3297716610533
ECU,2021,2021-12-31,541368.0,33647.0,79.02,70.5,6.27,17682454.0,Ecuador,30616.112446835716,1902.846742878562
ECU,2022,2022-12-31,1040463.0,35934.0,85.08,78.97,57.39,17823897.0,Ecuador,58374.6079771444,2016.0574312115918
EGY,2020,2020-12-31,131315.0,7352.0,,,,109315124.0,Egypt,1201.2518963066811,67.2551036945263
EGY,2021,2021-12-31,380520.0,21571.0,29.82,18.58,,110957008.0,Egypt,3429.436381341501,194.40863077346137
EGY,2022,2022-12-31,515514.0,24802.0,48.41,36.12,8.93,112618250.0,Egypt,4577.535168589461,220.2307352493934
SLV,2020,2020-12-31,44619.0,1297.0,,,,6234673.0,El Salvador,7156.590249400409,208.030156513421
SLV,2021,2021-12-31,121741.0,3818.0,70.76,65.6,15.47,6255782.0,El Salvador,19460.55664983211,610.3153850310001
SLV,2022,2022-12-31,201785.0,4230.0,73.43,68.56,36.18,6280319.0,El Salvador,32129.73735888257,673.5326660954643
GNQ,2020,2020-12-31,5236.0,86.0,,,,1716468.0,Equatorial Guinea,3050.450110342867,50.102885693179246
GNQ,2021,2021-12-31,13630.0,175.0,14.88,12.14,,1758786.0,Equatorial Guinea,7749.663688476028,99.50045087918599
GNQ,2022,2022-12-31,17089.0,183.0,16.13,12.78,0.27,1803545.0,Equatorial Guinea,9475.227953835363,101.46683337538016
ERI,2020,2020-12-31,997.0,1.0,,,,3291271.0,Eritrea,302.92248799931696,0.30383398996922467
ERI,2021,2021-12-31,7873.0,72.0,,,,3350183.0,Eritrea,2350.0208794564355,21.49136330761633
ERI,2022,2022-12-31,10189.0,103.0,,,,3409447.0,Eritrea,2988.4611786016912,30.210177779563665
EST,2020,2020-12-31,31031.0,284.0,0.19,0.01,,1329522.0,Estonia,23339.967296517094,213.61060591701377
EST,2021,2021-12-31,226809.0,1828.0,63.5,62.42,24.98,1330932.0,Estonia,170413.66501068426,1373.4736260004267
EST,2022,2022-12-31,594217.0,2727.0,65.5,64.93,44.52,1348840.0,Estonia,440539.2781945968,2021.7371964058004
ETH,2020,2020-12-31,122413.0,1901.0,,,,118917671.0,Ethiopia,1029.3928477627182,15.985849571507332
ETH,2021,2021-12-31,395750.0,6894.0,7.57,,,122138588.0,Ethiopia,3240.1717301660633,56.44407809921628
ETH,2022,2022-12-31,497096.0,7572.0,34.94,29.75,1.96,125384287.0,Ethiopia,3964.5797084605983,60.39034221249749
FLK,2020,2020-12-31,29.0,0.0,,,,,Falkland Islands (Malvinas),,
FLK,2021,2021-12-31,81.0,0.0,69.24,46.7,,,Falkland Islands (Malvinas),,
FLK,2022,2022-12-31,1923.0,0.0,,,,,Falkland Islands (Malvinas),,
FRO,2020,2020-12-31,574.0,0.0,,,,52565.0,Faroe Islands,10919.813564158661,0.0
FRO,2021,2021-12-31,5150.0,13.0,78.01,76.3,26.87,53296.0,Faroe Islands,96630.14109876913,243.9207445211648
